run,duration_s,throughput_pps,sent,received,lost
1,5.005289,799.15,4000,4000,0
2,5.005133,799.18,4000,4000,0
3,5.005069,799.19,4000,4000,0
4,5.005092,799.19,4000,4000,0
5,5.005025,799.20,4000,4000,0
6,5.005099,799.18,4000,4000,0
7,5.005050,799.19,4000,4000,0
8,5.005185,799.17,4000,4000,0
9,5.005031,799.20,4000,4000,0
10,5.005097,799.19,4000,4000,0
11,5.005122,799.18,4000,4000,0
12,5.005048,799.19,4000,4000,0
13,5.005038,799.19,4000,4000,0
14,5.005047,799.19,4000,4000,0
15,5.005013,799.20,4000,4000,0
16,5.005053,799.19,4000,4000,0
17,5.005028,799.20,4000,4000,0
18,5.005046,799.19,4000,4000,0
19,5.005081,799.19,4000,4000,0
20,5.005019,799.20,4000,4000,0
21,5.005051,799.19,4000,4000,0
22,5.005050,799.19,4000,4000,0
23,5.005077,799.19,4000,4000,0
24,5.005486,799.12,4000,4000,0
25,5.005131,799.18,4000,4000,0
26,5.005046,799.19,4000,4000,0
27,5.005074,799.19,4000,4000,0
28,5.005090,799.19,4000,4000,0
29,5.005071,799.19,4000,4000,0
30,5.005064,799.19,4000,4000,0
31,5.005090,799.19,4000,4000,0
32,5.005093,799.19,4000,4000,0
33,5.005063,799.19,4000,4000,0
34,5.005081,799.19,4000,4000,0
35,5.005082,799.19,4000,4000,0
36,5.005173,799.17,4000,4000,0
37,5.005113,799.18,4000,4000,0
38,5.005073,799.19,4000,4000,0
39,5.005083,799.19,4000,4000,0
40,5.005101,799.18,4000,4000,0
41,5.005087,799.19,4000,4000,0
42,5.005063,799.19,4000,4000,0
43,5.005038,799.19,4000,4000,0
44,5.005093,799.19,4000,4000,0
45,5.005064,799.19,4000,4000,0
46,5.005079,799.19,4000,4000,0
47,5.005078,799.19,4000,4000,0
48,5.005090,799.19,4000,4000,0
49,5.005056,799.19,4000,4000,0
50,5.005061,799.19,4000,4000,0
